"FirmId","PurchaseOrderNumber","VendorNumber","VendorName","WarehouseId","PurchasingAddressCode","OrderDateRaw","OrderDateIso","PromisedDateRaw","PromisedDateIso","NotBeforeDateRaw","NotBeforeDateIso","RequiredDateRaw","RequiredDateIso","LastReceiptDateRaw","LastReceiptDateIso","HoldFlag","PrintStatus","PaymentTermsCode","FreightTerms","ShippingMethod","Acknowledgment","Fob","MessageCode","RequisitionNumber","PurchaseOrderStatus","IsOpen","IsClosed","IsCanceled","VendorResolutionStatus","SourceRecordIdentity"
"01","0277334","000174","PCB POWER INC.","12","","B50109","2015-01-09","","","","","B50112","2015-01-12","B50311","2015-03-11","","","01","","UPS","FRANK","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430323737333334"
"01","0041527","000177","ACCUGRAPHICS PLUS","83","","B90712","2019-07-12","","","","","B90715","2019-07-15","","","","","01","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373730303431353237"
"01","0026376","000184","INTEGRA ELECTRONICS","12","","B30715","2013-07-15","","","","","B31001","2013-10-01","B30911","2013-09-11","","","01","","UPS","TOM","","","","ActiveOpenFile","true","false","false","Resolved","303130303031383430303236333736"
"01","0026541","000184","INTEGRA ELECTRONICS","02","","B40325","2014-03-25","","","","","B40326","2014-03-26","B40425","2014-04-25","","","01","","UPS","TOM","","","","ActiveOpenFile","true","false","false","Resolved","303130303031383430303236353431"
"01","0026726","000184","INTEGRA ELECTRONICS","30","","B31203","2013-12-03","","","","","B40601","2014-06-01","B40804","2014-08-04","","","01","","UPS","TOM","","","","ActiveOpenFile","true","false","false","Resolved","303130303031383430303236373236"
"01","0027261","000184","INTEGRA ELECTRONICS","02","","B40717","2014-07-17","","","","","B50306","2015-03-06","B50304","2015-03-04","","","01","","UPS","TOM","","","","ActiveOpenFile","true","false","false","Resolved","303130303031383430303237323631"
"01","0028068","000184","INTEGRA ELECTRONICS","39","","B50511","2015-05-11","","","","","B50514","2015-05-14","B50702","2015-07-02","","","01","","UPS","TOM","","","","ActiveOpenFile","true","false","false","Resolved","303130303031383430303238303638"
"01","0028255","000184","INTEGRA ELECTRONICS","30","","B50811","2015-08-11","","","","","B50812","2015-08-12","B51030","2015-10-30","","","01","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031383430303238323535"
"01","0028507","000184","INTEGRA ELECTRONICS","02","","B60114","2016-01-14","","","","","B60118","2016-01-18","B60310","2016-03-10","","","01","","UPS","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031383430303238353037"
"01","0042003","000184","INTEGRA ELECTRONICS","02","","C00205","2020-02-05","","","","","C00219","2020-02-19","C00406","2020-04-06","","","01","","UPS","TOM","","","","ActiveOpenFile","true","false","false","Resolved","303130303031383430303432303033"
"01","0028181","000196","SOUTHERN CALIFORNIA CONNECTOR","A2","","B50710","2015-07-10","","","","","B50713","2015-07-13","","","","","01","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031393630303238313831"
"01","0039004","000196","SOUTHERN CALIFORNIA CONNECTOR","27","","B60810","2016-08-10","","","","","B60826","2016-08-26","B60825","2016-08-25","","","01","","UPS","BOB PARKER","","","","ActiveOpenFile","true","false","false","Resolved","303130303031393630303339303034"
"01","0044292","000204","NATIONAL WIRE & CABLE","72","","C30303","2023-03-03","","","","","C30308","2023-03-08","","","","","01","","UPS","TAYOR","","","","ActiveOpenFile","true","false","false","Resolved","303130303032303430303434323932"
"01","0027683","000209","ELECTRO SUPPLY","72","","B41211","2014-12-11","","","","","B41217","2014-12-17","B50323","2015-03-23","","","01","","UPS","CAROL","","","","ActiveOpenFile","true","false","false","Resolved","303130303032303930303237363833"
"01","0019243","000210","R & J COMPONENTS","12","","A71129","2007-11-29","","","","","A71130","2007-11-30","","","","","01","","UPS RED","MICHAEL","","","","ActiveOpenFile","true","false","false","Resolved","303130303032313030303139323433"
"01","0026638","000210","R & J COMPONENTS","12","","B31029","2013-10-29","","","","","B31111","2013-11-11","B31116","2013-11-16","","","01","","UPS","MICHAEL FRENCH","","STD","","ActiveOpenFile","true","false","false","Resolved","303130303032313030303236363338"
"01","0027975","000210","R & J COMPONENTS","39","","B50409","2015-04-09","","","","","B50413","2015-04-13","B50417","2015-04-17","","","01","","UPS","MICHAEL FRENCH","","","","ActiveOpenFile","true","false","false","Resolved","303130303032313030303237393735"
"01","0028062","000210","R & J COMPONENTS","12","","B50507","2015-05-07","","","","","B50515","2015-05-15","B51222","2015-12-22","","","01","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303032313030303238303632"
"01","0040770","000210","R & J COMPONENTS","72","","B80815","2018-08-15","","","","","B80822","2018-08-22","","","","","01","","UPS","MICHAEL","","","","ActiveOpenFile","true","false","false","Resolved","303130303032313030303430373730"
"01","0044151","000210","R & J COMPONENTS","31","","C30104","2023-01-04","","","","","C30112","2023-01-12","","","","","01","","FED EX","","","","","ActiveOpenFile","true","false","false","Resolved","303130303032313030303434313531"
"01","0044281","000210","R & J COMPONENTS","14","","C30228","2023-02-28","","","","","C30320","2023-03-20","C30306","2023-03-06","","","01","","UPS","MICHAEL","","","","ActiveOpenFile","true","false","false","Resolved","303130303032313030303434323831"
"01","0044379","000210","R & J COMPONENTS","B0","","C30427","2023-04-27","","","","","C30501","2023-05-01","","","","","01","","UPS","MICHAEL","","","","ActiveOpenFile","true","false","false","Resolved","303130303032313030303434333739"
"01","0026938","000217","ALL CABLE","72","","B40307","2014-03-07","","","","","B40310","2014-03-10","B40515","2014-05-15","","","01","","UPS","CHUCK","","","","ActiveOpenFile","true","false","false","Resolved","303130303032313730303236393338"
"01","0026980","000217","ALL CABLE","30","","B40326","2014-03-26","","","","","B40327","2014-03-27","","","","","01","","UPS","CHUCK","","","","ActiveOpenFile","true","false","false","Resolved","303130303032313730303236393830"
"01","0040914","000267","EAGLE ELECTRONICS","87","","B81003","2018-10-03","","","","","B81101","2018-11-01","","","","","01","","UPS","DAWN","","","","ActiveOpenFile","true","false","false","Resolved","303130303032363730303430393134"
"01","0041803","000274","DELTA DVH CIRCUITS","31","","B91017","2019-10-17","","","","","B91231","2019-12-31","C00227","2020-02-27","","","01","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303032373430303431383033"
"01","0027466","000276","ECON PRECISION TOOLS","31","","B40917","2014-09-17","","","","","B40924","2014-09-24","B50609","2015-06-09","","","02","","UPS","","","","","ActiveOpenFile","true","false","false","Resolved","303130303032373630303237343636"
"01","0040775","000276","ECON PRECISION TOOLS","31","","B80816","2018-08-16","","","","","B90215","2019-02-15","B90506","2019-05-06","","","02","","FED-EX","ANDY","","","","ActiveOpenFile","true","false","false","Resolved","303130303032373630303430373735"
"01","0038812","000289","VIP RUBBER CO., INC.","27","","B60517","2016-05-17","","","","","B60615","2016-06-15","","","","","01","","UPS","DARCI BYRD","","","","ActiveOpenFile","true","false","false","Resolved","303130303032383930303338383132"
"01","0028041","000299","SOUTHERN CALIFORNIA CONNECTOR","27","","B50608","2015-06-08","","","","","B50618","2015-06-18","B50618","2015-06-18","","","45","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303032393930303238303431"
