Ord Dt	Cust#	Cust Name	P/O	Sls Ord#	Ln#	WorkOrd	WorkOrd Qty	Qty Shp'd	Qty Open	Item#	Description	Ship Dt	Price	Ext Price	MatlCost	LabrCost	TotlCost
03/05/26	001148	HUGHEY & PHILLIPS        	HP00195650	0012064	09	UNKNOWN	          0	          0	         10	277-3939            	PCB ASSEMBLY 	09/01/26	     31.00	    310.00 	      5.27   	      2.83   	      8.10   
05/07/26	001148	HUGHEY & PHILLIPS        	HP00196695	0012082	09	UNKNOWN	          0	          0	         10	B7C24LAA-001        	ALARM BCN-LED 120V 	09/01/26	    132.79	   1327.90 	     76.08   	     18.40   	     94.48   
01/19/26	001165	AERO FLUID PRODUCTS      	P138315   	0012053	12	UNKNOWN	          0	          0	         30	718720-1            	ISOLATION SWITCH ASSY 	09/15/26	   1237.85	  37135.50 	    213.31   	     96.00   	    309.31   
07/07/25	001148	HUGHEY & PHILLIPS        	HP00194880	0012006	15	UNKNOWN	          0	          0	          5	277-3261            	ASSY 1 POWER SUPPLY 	10/01/26	    207.09	   1035.45 	     96.03   	     55.60   	    151.63   
11/07/25	001148	HUGHEY & PHILLIPS        	HP00195568	0012040	15	UNKNOWN	          0	          0	         10	B7C14PAA            	MASTER CARD 	10/01/26	    128.84	   1288.40 	     33.68   	     26.00   	     59.68   
05/19/26	565650	MEGGITT SAFETY SYSTEMS   	4551292410	0012083	05	UNKNOWN	          0	          0	         50	910781-03           	SMOKE DETECTOR SINGLE, 8930 	10/07/26	    364.80	  18240.00 	     14.39   	     30.00   	     44.39   
01/14/26	001165	AERO FLUID PRODUCTS      	P138515   	0012054	05	UNKNOWN	          0	          0	        200	15K35-1             	FILTER AND RECTIFIER ASSEMBLY 	10/09/26	     61.85	  12370.00 	      1.10   	     15.20   	     16.30   
03/27/26	565650	MEGGITT SAFETY SYSTEMS   	4551286831	0012072	01	0115591	         12	          0	         12	6834-03             	PC BD ASSY CONTROL FALCON 2000 	10/09/26	   1490.00	  17880.00 	     31.44   	     98.96   	    130.40   
03/27/26	565650	MEGGITT SAFETY SYSTEMS   	4551286872	0012073	01	0115592	         11	          0	         11	6834-04             	PC BD ASSY CONTROL FALCON 2000 	10/09/26	   1490.00	  16390.00 	     31.44   	     98.96   	    130.40   
04/13/26	001148	HUGHEY & PHILLIPS        	HP00196437	0012075	07	UNKNOWN	          0	          0	          5	B7C11PAA            	MASTER CARD 	10/12/26	    131.57	    657.85 	     35.16   	     26.66   	     61.82   
10/30/25	001165	AERO FLUID PRODUCTS      	P137686   	0012039	03	UNKNOWN	          0	          0	         50	1175136-1           	CAPACITOR TUBE ASSEMBLY 	10/15/26	    430.13	  21506.50 	      0.00   	      0.00   	      0.00   
02/21/26	001165	AERO FLUID PRODUCTS      	P139101   	0012063	05	UNKNOWN	          0	          0	        125	5372-36-1           	SWITCH HARNESS ASSY 	10/15/26	     54.44	   6805.00 	      0.00   	      9.20   	      9.20   
10/13/25	001037	MEGGITT (N. HOLLYWOOD), I	4551252615	0012029	05	UNKNOWN	          0	          0	        100	450007              	PCB ASSEMBLY 	10/21/26	     21.31	   2131.00 	      7.41   	      4.00   	     11.41   
06/04/25	001037	MEGGITT (N. HOLLYWOOD), I	4551226777	0011998	05	UNKNOWN	          0	          0	         10	159617              	PRINTED CIRCUIT ASSEMBLY OP20 	10/23/26	    495.75	   4957.50 	    175.42   	     40.00   	    215.42   
