"CanonicalTable","Field","FirmId","CodeDomain","CodeType","CodeValue","OccurrenceCount","CurrentDescription","Classification"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREE FEDEX PER","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREE GROUND","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREE OVERNIGHT","5",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREE OVRNT","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREE OVRNT PER","3",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREE SHIPPING","16",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREE UPS","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FREIGHT","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","FUSES TRUCK","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","JAIME","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","LISA","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","O/T","9",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","OPS","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","PICK UP","6",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","PICKED UP:DLE","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","PICK-UP","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","PPA","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","PS","9",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","QUEST DELIVERY","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","TDA","3",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","TRUCK","58",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","U[S","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","U8PS","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UBER","8",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","ULINE","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","ULINE MOTOR","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UOS","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UP","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPA","7",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPD","10",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPD BLUE","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS","31222",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS'","14",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS  /  PPA","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS  BLUE","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS  C.O.D","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS  PPA","9",,"TransactionDerived"
